rho_set,A0_unstable,A0_stable,A1_unstable,A1_stable,A1_stabilised,A1_destabilised,A0_infeasible,A0_feasible,A1_infeasible,A1_feasible,A1_made_feasible,A1_made_infeasible,A0_rho,A1_rho,rho_diff,rho_abs,complex_A0,complex_A1,A0_eig,A1_eig,LCI_A0,UCI_A0,LCI_A1,UCI_A1
0.35,10,0,10,0,0,0,10,0,10,0,0,0,0.35,0.262119682159593,-0.087880317840407,-0.087880317840407,0.994955618601698,1.14861684919631,0.338193907591011,0.259019275009039,0.325722025813954,0.359759157967828,0.245435900098054,0.276390140462362
0.4,10,0,10,0,0,0,10,0,10,0,0,0,0.4,0.298421207308728,-0.101578792691272,-0.101578792691272,0.993870545702976,1.15030299464777,0.400504451869314,0.312344379835942,0.379373460821918,0.423122895527861,0.287721769801961,0.354221414532111
0.45,10,0,10,0,0,0,10,0,10,0,0,0,0.45,0.337008116064427,-0.112991883935573,-0.112991883935573,0.998002728434446,1.15279895460171,0.436429398559605,0.360230575683732,0.413379305799993,0.453653016746187,0.337569136405992,0.394475585356025
0.5,10,0,10,0,0,0,10,0,10,0,0,0,0.5,0.376035947150809,-0.123964052849192,-0.123964052849192,1.00334581558869,1.15720149196654,0.489264959885251,0.422466308070066,0.464827839225796,0.506010136202393,0.402905371207501,0.44487023851053
0.55,10,0,10,0,0,0,10,0,10,0,0,0,0.55,0.41013908240364,-0.13986091759636,-0.13986091759636,0.995536057830786,1.15291634026432,0.531420824446371,0.465603835393751,0.509142660207251,0.560007121708529,0.441931062629251,0.491542196866619
0.6,10,0,10,0,0,0,10,0,10,0,0,0,0.6,0.451637265780261,-0.148362734219739,-0.148362734219739,1.00744014527395,1.16079843049995,0.596842215177956,0.525700763563015,0.581940345270807,0.618424364524926,0.50242936845128,0.545731234874697
0.65,10,0,10,0,0,0,10,0,10,0,0,0,0.65,0.48774023074924,-0.16225976925076,-0.16225976925076,0.997600295009034,1.15122432265718,0.632992978320331,0.584324649871467,0.623250108370851,0.647176262951637,0.566675134590755,0.62008166977824
0.7,10,0,10,0,0,0,10,0,10,0,0,0,0.7,0.526387778107398,-0.173612221892603,-0.173612221892603,1.00230112769834,1.15592132739637,0.695846068936514,0.639030598850535,0.665923931991215,0.722236795816518,0.601378627023786,0.670145589908628
0.75,10,0,10,0,0,0,10,0,10,0,0,0,0.75,0.564066645756644,-0.185933354243356,-0.185933354243356,1.00477219074636,1.15818536249571,0.745850793321126,0.678540811738171,0.721928499568724,0.785461606046834,0.64158183050429,0.709650072915975
0.8,10,0,10,0,0,0,10,0,10,0,0,0,0.8,0.600000873135839,-0.199999126864161,-0.199999126864161,0.999588830716209,1.15397761350473,0.796244219141988,0.738473895139048,0.754479376596738,0.830530810271293,0.720193278134607,0.752544296461563
0.85,10,0,10,0,0,0,10,0,10,0,0,0,0.85,0.636721278260327,-0.213278721739673,-0.213278721739673,1.00334487808932,1.15940583900409,0.842575205561197,0.79654845280374,0.809888818360148,0.871848290983693,0.748407060966092,0.82578047114071
0.9,10,0,10,0,0,0,10,0,10,0,0,0,0.9,0.675350131016757,-0.224649868983243,-0.224649868983243,1.00543611637627,1.16057842286199,0.899597025740691,0.8572078756781,0.878091117363425,0.923419135962875,0.837770338170138,0.883479002585345
0.95,10,0,10,0,0,0,10,0,10,0,0,0,0.95,0.709391655167564,-0.240608344832436,-0.240608344832436,0.991897104262842,1.14787444364114,0.940095844505217,0.903312209898759,0.915458022510351,0.964039762916025,0.873119881230186,0.922861404858055
