S,A_unstable,A_stable,M_unstable,M_stable,A_stabilised,A_destabilised,A_infeasible,A_feasible,M_infeasible,M_feasible,A_made_feasible,A_made_infeasible,A_rho,M_rho,rho_diff,rho_abs,complex_A,complex_M,A_eig,M_eig,LR_A,UR_A,LR_M,UR_M
29,100000,0,100000,0,0,0,100000,0,100000,0,0,0,-1.2904424769415E-05,4.68114690300312E-05,5.97158937994464E-05,-0.001079138713113,2.8561961070777,3.56106279059919,1.22923964027529,1.00530127901083,0.120766419476572,3.66002944311764,0.003792706387837,3.83648946188258
30,100000,0,100000,0,0,0,100000,0,100000,0,0,0,-1.83425031756304E-05,0.000157305273053,0.000175647776228,-0.001068384059202,2.90723499931111,3.6252945899808,1.28091154138025,1.0585361414591,0.189959857909228,4.00322779056242,0.002243959515118,4.59645997580942
31,100000,0,100000,0,0,0,100000,0,100000,0,0,0,0.000185113070232,2.51788019698179E-05,-0.000159934268262,-0.000854967996963,2.95469597648803,3.68478102926284,1.33223713665143,1.11022450535848,0.208331548561054,3.76632152894761,0.024746609323568,4.21982760733743
32,100000,0,100000,0,0,0,100000,0,100000,0,0,0,-0.000174059882202,2.51011266541605E-05,0.000199161008856,-0.00069126964216,3.00462378446395,3.74599178577533,1.37941861673278,1.1597813992772,0.30827416731442,4.32857408925534,0.107992190731567,4.35428294628872
33,100000,0,100000,0,0,0,100000,0,100000,0,0,0,-0.000378348517682,-3.51219180632385E-05,0.000343226599619,-0.000941909667918,3.05174886216573,3.80532717181909,1.43294588889631,1.21294220997928,0.351579210872962,4.28907776536769,0.066929728429144,4.668292628335
34,100000,0,100000,0,0,0,100000,0,100000,0,0,0,0.000104424128989,0.000103569172025,-8.54956963565767E-07,-0.000825075932505,3.09961535850781,3.86477548180391,1.48355459782974,1.26450315054884,0.37551720238263,4.03101223996416,0.089312907292544,4.68027282089645
35,100000,0,100000,0,0,0,100000,0,100000,0,0,0,-0.000155729499154,-0.000166934822255,-1.12053231011192E-05,-0.00069593041721,3.14568924758136,3.92296237544308,1.53177816672792,1.31344275228604,0.424831488886023,3.90428321013513,0.100331480960165,4.12008148025642
36,100000,0,100000,0,0,0,100000,0,100000,0,0,0,-0.000166675545993,-0.000129905698333,3.6769847660589E-05,-0.000686240706128,3.19090491250532,3.97932118528847,1.57776404805671,1.36086415728517,0.440054326901577,3.95657229966881,0.193198710274117,4.3573209032803
37,100000,0,100000,0,0,0,100000,0,100000,0,0,0,-0.000157210071788,-0.000198776197329,-4.15661255409592E-05,-0.000697276200678,3.23490324898529,4.03417197476093,1.62443989209957,1.4085149262601,0.496565003686717,3.94650520527695,0.220221053229104,4.54736257305154
38,100000,0,100000,0,0,0,100000,0,100000,0,0,0,3.02007552328939E-05,2.15323190966269E-05,-8.66843613626701E-06,-0.000590002151201,3.27874392431907,4.08932027326846,1.67323101827226,1.46440801678808,0.441374718015689,4.1523090191277,0.18722730843743,4.95087630955513
39,100000,0,100000,0,0,0,100000,0,100000,0,0,0,-0.000168316864244,-0.000179542671249,-1.12258070055456E-05,-0.000568220985738,3.32762520884076,4.14844197291713,1.72069674902662,1.50971547271779,0.550069195193422,4.38324562157128,0.261532186922811,4.89275876962062
40,100000,0,100000,0,0,0,100000,0,100000,0,0,0,7.25712181799739E-05,5.57010667716692E-05,-1.68701514083049E-05,-0.000626181668984,3.36970469746615,4.20146291080908,1.76484317219983,1.55847908479241,0.547280126432953,4.71220923723975,0.202128924981158,5.43368277651489
