S,A_unstable,A_stable,M_unstable,M_stable,A_stabilised,A_destabilised,A_infeasible,A_feasible,M_infeasible,M_feasible,A_made_feasible,A_made_infeasible,A_rho,M_rho,rho_diff,rho_abs,complex_A,complex_M,A_eig,M_eig,LR_A,UR_A,LR_M,UR_M
32,100000,0,100000,0,0,0,100000,0,100000,0,0,0,2.29494206379858E-05,0.00014412378202,0.000121174361382,-0.000252866747293,3.33674227838252,4.01822720666742,1.53623470955872,1.30802275484165,0.328813086238228,4.69999426611135,0.020461517886872,4.74246217249525
33,100000,0,100000,0,0,0,100000,0,100000,0,0,0,1.0798967490866E-05,-0.000160294484647,-0.000171093452138,-0.0005925095864,3.38662361523391,4.07947918119834,1.59057226352716,1.366867592581,0.367733432077529,4.85238639432988,0.038434272308602,5.16214596319787
34,100000,0,100000,0,0,0,100000,0,100000,0,0,0,3.04960792032541E-05,-0.000169719880555,-0.000200215959758,-0.000400669141095,3.43314993422056,4.13772000031935,1.64214801259305,1.42200851991549,0.409072110996232,5.09443508864629,0.036923714236076,5.69954246744074
35,100000,0,100000,0,0,0,100000,0,100000,0,0,0,0.000230945283301,0.000120569588765,-0.000110375694536,-0.00029596363394,3.48070138159223,4.19688551237047,1.69328144658666,1.48005550927444,0.512224888960805,4.5924871664696,0.102445556915056,4.92414900541045
36,100000,0,100000,0,0,0,100000,0,100000,0,0,0,0.000251939176821,0.000294766148612,4.28269717916995E-05,-0.000343718590535,3.52684350153224,4.25353217717815,1.74661529272832,1.53799915271087,0.380204632589491,4.50586272160359,0.110639765086269,5.00259357590714
37,100000,0,100000,0,0,0,100000,0,100000,0,0,0,6.19469128950721E-05,4.01307062179755E-05,-2.18162066770965E-05,-0.00023359954168,3.57207359537988,4.3099834909878,1.79460878138869,1.59323820401825,0.581524091078308,4.6222657320369,0.153155403731778,5.01438520670339
38,100000,0,100000,0,0,0,100000,0,100000,0,0,0,2.18749477994843E-05,-1.50145062724533E-05,-3.68894540719377E-05,-0.000229045506509,3.61697336068309,4.36508730673246,1.84496974518014,1.64483363601585,0.577579226549489,4.4480123784914,0.164696174676777,4.79313420624655
39,100000,0,100000,0,0,0,100000,0,100000,0,0,0,-1.70865698006864E-05,-3.9821865268162E-05,-2.27352954674756E-05,-0.00012921764612,3.66245559934676,4.42120277642612,1.89521763623461,1.70191283971997,0.572450827802536,4.92812414407957,0.119959203834375,5.43337447861517
40,100000,0,100000,0,0,0,100000,0,100000,0,0,0,1.08421473717061E-05,0.0001799669223,0.000169124774928,-0.000271421834314,3.70685698868725,4.47622832580973,1.93976351678256,1.75192558537973,0.657299383359647,4.73429910949159,0.19911005510962,5.08252570911573
41,100000,0,100000,0,0,0,100000,0,100000,0,0,0,0.000171286055975,0.000234793869659,6.35078136845258E-05,-0.000219863756404,3.75164427677963,4.53096522397035,1.98901401274065,1.80686250079618,0.74337363500355,5.59306941165839,0.240518935812999,5.18821793444386
42,100000,0,100000,0,0,0,100000,0,100000,0,0,0,-3.57146540439144E-05,-2.25351588370213E-05,1.31794952068931E-05,-5.14912600199396E-05,3.79386544448056,4.58370573211475,2.03664289506079,1.86057419998331,0.799868497944102,5.47152146247009,0.249448367828265,5.5923306801397
43,100000,0,100000,0,0,0,100000,0,100000,0,0,0,-0.000129241979862,-0.000106619269503,2.26227103591271E-05,-0.000255325049338,3.83500988604371,4.63512842774171,2.08340337857439,1.9126165955843,0.755094270120904,4.95951390730021,0.329341250877542,5.70990642191859
44,100000,0,100000,0,0,0,100000,0,100000,0,0,0,-1.96139148191369E-05,0.000135562148831,0.00015517606365,-0.000235397028343,3.87795006660821,4.6876693492005,2.12594498549449,1.96306990237126,0.879533580376253,4.94394272350321,0.339845224425886,5.68424703762689
45,100000,0,100000,0,0,0,100000,0,100000,0,0,0,0.000107214135899,9.27266263243086E-05,-1.44875095749767E-05,-0.000171240306802,3.92045492339488,4.74029835777625,2.17322327103771,2.019082335781,0.734871708112052,5.20256308079683,0.280108663493745,5.27631888981396
46,100000,0,100000,0,0,0,100000,0,100000,0,0,0,9.53353553983965E-05,-2.96058893875275E-05,-0.000124941244786,-0.000214306665348,3.9597836592982,4.78941293240648,2.21715266148497,2.06823567881439,0.908193072221548,5.02385511141074,0.419222990337965,6.13958418512573
47,100000,0,100000,0,0,0,100000,0,100000,0,0,0,6.34012442717139E-05,-5.08177026334206E-05,-0.000114218946905,-0.000340007555398,4.00140396313517,4.84017244925512,2.26109987982187,2.11678736539016,0.900546431366813,4.84294363396606,0.435563066474624,5.5653322634689
48,100000,0,100000,0,0,0,100000,0,100000,0,0,0,-5.74203805848916E-06,-6.10401220140765E-05,-5.52980839555873E-05,-0.000199489344544,4.04051579104676,4.88941986796857,2.3032198910243,2.165138623777,0.959157833886799,5.45142927267934,0.387489328650791,6.03481726804327
49,100000,0,100000,0,0,0,100000,0,100000,0,0,0,-5.92466156437538E-05,1.55311769800319E-05,7.47777926237857E-05,-0.000213404489574,4.08172826958359,4.93960544417485,2.34696182135864,2.21273401485535,0.989681613721577,5.28847289879003,0.448506055852836,5.63909929345588
50,100000,0,100000,0,0,0,100000,0,100000,0,0,0,-2.47993025591008E-05,3.31396147873608E-05,5.79389173464615E-05,-0.000126900771546,4.12178260484975,4.98886912170886,2.38945450512631,2.26498957056198,1.01967578781132,5.07192143783426,0.500602789802626,5.47086856973487
